"VoidNucleationRate","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.6283e+16,1,0,0,0,0
3.0707e+19,1,30,30,0,0
1.3786e+20,1,60,60,0,0
1.5976e+20,1,90,90,0,0
1.4803e+20,1,120,120,0,0
1.3562e+20,1,150,150,0,0
1.2354e+20,1,180,180,0,0
1.1139e+20,1,210,210,0,0
1.0339e+20,1,240,240,0,0
9.5774e+19,1,270,270,0,0
8.8164e+19,1,300,300,0,0
8.1433e+19,1,330,330,0,0
7.586e+19,1,360,360,0,0
7.3304e+19,1,390,390,0,0
7.0799e+19,1,420,420,0,0
6.73e+19,1,450,450,0,0
6.5754e+19,1,480,480,0,0
6.3677e+19,1,510,510,0,0
6.2533e+19,1,540,540,0,0
6.0938e+19,1,570,570,0,0
6.082e+19,1,600,600,0,0
6.187e+19,1,630,630,0,0
6.2579e+19,1,660,660,0,0
6.34e+19,1,690,690,0,0
6.5491e+19,1,720,720,0,0
6.6955e+19,1,750,750,0,0
6.8198e+19,1,780,780,0,0
6.8252e+19,1,810,810,0,0
6.8894e+19,1,840,840,0,0
7.0517e+19,1,870,870,0,0
6.9428e+19,1,900,900,0,0
6.6882e+19,1,930,930,0,0
6.2659e+19,1,960,960,0,0
5.5868e+19,1,990,990,0,0
4.8311e+19,1,1020,1020,0,0
3.8833e+19,1,1050,1050,0,0
2.8366e+19,1,1080,1080,0,0
1.8611e+19,1,1110,1110,0,0
1.0724e+19,1,1140,1140,0,0
5.2656e+18,1,1170,1170,0,0
2.113e+18,1,1200,1200,0,0
6.1476e+17,1,1230,1230,0,0
1.0922e+17,1,1260,1260,0,0
9.1804e+15,1,1290,1290,0,0
1.0786e+14,1,1320,1320,0,0
0,1,1350,1350,0,0
0,1,1380,1380,0,0
0,1,1410,1410,0,0
0,1,1440,1440,0,0
0,1,1470,1470,0,0
0,1,1500,1500,0,0
0,1,1530,1530,0,0
0,1,1560,1560,0,0
0,1,1590,1590,0,0
0,1,1620,1620,0,0
0,1,1650,1650,0,0
0,1,1680,1680,0,0
0,1,1710,1710,0,0
0,1,1740,1740,0,0
0,1,1770,1770,0,0
0,1,1800,1800,0,0
0,1,1830,1830,0,0
0,1,1860,1860,0,0
0,1,1890,1890,0,0
0,1,1920,1920,0,0
0,1,1950,1950,0,0
0,1,1980,1980,0,0
0,1,2010,2010,0,0
0,1,2040,2040,0,0
0,1,2070,2070,0,0
0,1,2100,2100,0,0
0,1,2130,2130,0,0
0,1,2160,2160,0,0
0,1,2190,2190,0,0
0,1,2220,2220,0,0
0,1,2250,2250,0,0
0,1,2280,2280,0,0
0,1,2310,2310,0,0
0,1,2340,2340,0,0
0,1,2370,2370,0,0
0,1,2400,2400,0,0
0,1,2430,2430,0,0
0,1,2460,2460,0,0
0,1,2490,2490,0,0
0,1,2520,2520,0,0
0,1,2550,2550,0,0
0,1,2580,2580,0,0
0,1,2610,2610,0,0
0,1,2640,2640,0,0
0,1,2670,2670,0,0
0,1,2700,2700,0,0
0,1,2730,2730,0,0
0,1,2760,2760,0,0
0,1,2790,2790,0,0
0,1,2820,2820,0,0
0,1,2850,2850,0,0
0,1,2880,2880,0,0
0,1,2910,2910,0,0
0,1,2940,2940,0,0
0,1,2970,2970,0,0
0,1,3000,3000,0,0
