"VoidNucleationRate","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.9988e+07,1,0,0,0,0
1.6517e+11,1,30,30,0,0
1.2078e+12,1,60,60,0,0
1.8674e+12,1,90,90,0,0
2.0842e+12,1,120,120,0,0
2.1942e+12,1,150,150,0,0
2.264e+12,1,180,180,0,0
2.3068e+12,1,210,210,0,0
2.3853e+12,1,240,240,0,0
2.4553e+12,1,270,270,0,0
2.5072e+12,1,300,300,0,0
2.5574e+12,1,330,330,0,0
2.6196e+12,1,360,360,0,0
2.7394e+12,1,390,390,0,0
2.8566e+12,1,420,420,0,0
2.9419e+12,1,450,450,0,0
3.0688e+12,1,480,480,0,0
3.1781e+12,1,510,510,0,0
3.3071e+12,1,540,540,0,0
3.4203e+12,1,570,570,0,0
3.5811e+12,1,600,600,0,0
3.786e+12,1,630,630,0,0
3.9799e+12,1,660,660,0,0
4.1768e+12,1,690,690,0,0
4.421e+12,1,720,720,0,0
4.6372e+12,1,750,750,0,0
4.8285e+12,1,780,780,0,0
4.9579e+12,1,810,810,0,0
5.0976e+12,1,840,840,0,0
5.2593e+12,1,870,870,0,0
5.2709e+12,1,900,900,0,0
5.1705e+12,1,930,930,0,0
4.9395e+12,1,960,960,0,0
4.534e+12,1,990,990,0,0
4.0321e+12,1,1020,1020,0,0
3.3772e+12,1,1050,1050,0,0
2.618e+12,1,1080,1080,0,0
1.8586e+12,1,1110,1110,0,0
1.1883e+12,1,1140,1140,0,0
6.6947e+11,1,1170,1170,0,0
3.2147e+11,1,1200,1200,0,0
1.2176e+11,1,1230,1230,0,0
3.2838e+10,1,1260,1260,0,0
5.4633e+09,1,1290,1290,0,0
3.4757e+08,1,1320,1320,0,0
1.3391e+06,1,1350,1350,0,0
0,1,1380,1380,0,0
0,1,1410,1410,0,0
0,1,1440,1440,0,0
0,1,1470,1470,0,0
0,1,1500,1500,0,0
0,1,1530,1530,0,0
0,1,1560,1560,0,0
0,1,1590,1590,0,0
0,1,1620,1620,0,0
0,1,1650,1650,0,0
0,1,1680,1680,0,0
0,1,1710,1710,0,0
0,1,1740,1740,0,0
0,1,1770,1770,0,0
0,1,1800,1800,0,0
0,1,1830,1830,0,0
0,1,1860,1860,0,0
0,1,1890,1890,0,0
0,1,1920,1920,0,0
0,1,1950,1950,0,0
0,1,1980,1980,0,0
0,1,2010,2010,0,0
0,1,2040,2040,0,0
0,1,2070,2070,0,0
0,1,2100,2100,0,0
0,1,2130,2130,0,0
0,1,2160,2160,0,0
0,1,2190,2190,0,0
0,1,2220,2220,0,0
0,1,2250,2250,0,0
0,1,2280,2280,0,0
0,1,2310,2310,0,0
0,1,2340,2340,0,0
0,1,2370,2370,0,0
0,1,2400,2400,0,0
0,1,2430,2430,0,0
0,1,2460,2460,0,0
0,1,2490,2490,0,0
0,1,2520,2520,0,0
0,1,2550,2550,0,0
0,1,2580,2580,0,0
0,1,2610,2610,0,0
0,1,2640,2640,0,0
0,1,2670,2670,0,0
0,1,2700,2700,0,0
0,1,2730,2730,0,0
0,1,2760,2760,0,0
0,1,2790,2790,0,0
0,1,2820,2820,0,0
0,1,2850,2850,0,0
0,1,2880,2880,0,0
0,1,2910,2910,0,0
0,1,2940,2940,0,0
0,1,2970,2970,0,0
0,1,3000,3000,0,0
